"symbol","windowStart","windowEnd","out","time","diff"
"TSLA","2021-09-01T12:17:00.000000000+0000","2021-09-01T14:17:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:22:00.000000000+0000","2021-09-01T05:22:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:22:00.000000000+0000","2021-09-01T04:22:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:36:00.000000000+0000","2021-09-01T14:36:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:41:00.000000000+0000","2021-09-01T04:41:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:58:00.000000000+0000","2021-09-01T14:58:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:40:00.000000000+0000","2021-09-01T04:40:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:55:00.000000000+0000","2021-09-01T15:55:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:44:00.000000000+0000","2021-09-01T15:44:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:16:00.000000000+0000","2021-09-01T16:16:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:08:00.000000000+0000","2021-09-01T16:08:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:25:00.000000000+0000","2021-09-01T14:25:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:25:00.000000000+0000","2021-09-01T04:25:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:30:00.000000000+0000","2021-09-01T04:30:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:12:00.000000000+0000","2021-09-01T04:12:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:35:00.000000000+0000","2021-09-01T15:35:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:27:00.000000000+0000","2021-09-01T04:27:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:09:00.000000000+0000","2021-09-01T04:09:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:09:00.000000000+0000","2021-09-01T15:09:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:21:00.000000000+0000","2021-09-01T04:21:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:15:00.000000000+0000","2021-09-01T14:15:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:29:00.000000000+0000","2021-09-01T04:29:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:53:00.000000000+0000","2021-09-01T05:53:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:37:00.000000000+0000","2021-09-01T15:37:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:45:00.000000000+0000","2021-09-01T04:45:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:15:00.000000000+0000","2021-09-01T16:15:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:24:00.000000000+0000","2021-09-01T15:24:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:01:00.000000000+0000","2021-09-01T04:01:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:59:00.000000000+0000","2021-09-01T05:59:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:37:00.000000000+0000","2021-09-01T05:37:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:23:00.000000000+0000","2021-09-01T05:23:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:38:00.000000000+0000","2021-09-01T15:38:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:40:00.000000000+0000","2021-09-01T05:40:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:48:00.000000000+0000","2021-09-01T05:48:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:34:00.000000000+0000","2021-09-01T14:34:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:33:00.000000000+0000","2021-09-01T05:33:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:39:00.000000000+0000","2021-09-01T04:39:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:49:00.000000000+0000","2021-09-01T15:49:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:46:00.000000000+0000","2021-09-01T14:46:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:57:00.000000000+0000","2021-09-01T15:57:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:08:00.000000000+0000","2021-09-01T15:08:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:58:00.000000000+0000","2021-09-01T05:58:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:27:00.000000000+0000","2021-09-01T15:27:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:12:00.000000000+0000","2021-09-01T16:12:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:13:00.000000000+0000","2021-09-01T14:13:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:23:00.000000000+0000","2021-09-01T15:23:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:03:00.000000000+0000","2021-09-01T04:03:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:17:00.000000000+0000","2021-09-01T16:17:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:47:00.000000000+0000","2021-09-01T15:47:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:43:00.000000000+0000","2021-09-01T14:43:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:00:00.000000000+0000","2021-09-01T15:00:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:51:00.000000000+0000","2021-09-01T15:51:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:04:00.000000000+0000","2021-09-01T04:04:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:52:00.000000000+0000","2021-09-01T15:52:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:19:00.000000000+0000","2021-09-01T05:19:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:42:00.000000000+0000","2021-09-01T14:42:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:06:00.000000000+0000","2021-09-01T15:06:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:18:00.000000000+0000","2021-09-01T16:18:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:45:00.000000000+0000","2021-09-01T05:45:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:48:00.000000000+0000","2021-09-01T15:48:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:22:00.000000000+0000","2021-09-01T16:22:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:16:00.000000000+0000","2021-09-01T05:16:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:04:00.000000000+0000","2021-09-01T15:04:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:13:00.000000000+0000","2021-09-01T15:13:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T04:01:00.000000000+0000","2021-09-01T06:01:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:27:00.000000000+0000","2021-09-01T14:27:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:54:00.000000000+0000","2021-09-01T04:54:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:58:00.000000000+0000","2021-09-01T15:58:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:20:00.000000000+0000","2021-09-01T05:20:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:43:00.000000000+0000","2021-09-01T05:43:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:35:00.000000000+0000","2021-09-01T05:35:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:35:00.000000000+0000","2021-09-01T04:35:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:11:00.000000000+0000","2021-09-01T15:11:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:26:00.000000000+0000","2021-09-01T04:26:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:07:00.000000000+0000","2021-09-01T04:07:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:31:00.000000000+0000","2021-09-01T14:31:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:57:00.000000000+0000","2021-09-01T05:57:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:25:00.000000000+0000","2021-09-01T05:25:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:12:00.000000000+0000","2021-09-01T14:12:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:46:00.000000000+0000","2021-09-01T15:46:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:28:00.000000000+0000","2021-09-01T15:28:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:18:00.000000000+0000","2021-09-01T15:18:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:22:00.000000000+0000","2021-09-01T15:22:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:01:00.000000000+0000","2021-09-01T15:01:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:19:00.000000000+0000","2021-09-01T15:19:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:34:00.000000000+0000","2021-09-01T15:34:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:50:00.000000000+0000","2021-09-01T14:50:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:32:00.000000000+0000","2021-09-01T04:32:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:24:00.000000000+0000","2021-09-01T16:24:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:56:00.000000000+0000","2021-09-01T15:56:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:49:00.000000000+0000","2021-09-01T05:49:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:36:00.000000000+0000","2021-09-01T15:36:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:39:00.000000000+0000","2021-09-01T14:39:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:26:00.000000000+0000","2021-09-01T15:26:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:55:00.000000000+0000","2021-09-01T05:55:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:44:00.000000000+0000","2021-09-01T04:44:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:18:00.000000000+0000","2021-09-01T14:18:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:39:00.000000000+0000","2021-09-01T05:39:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:19:00.000000000+0000","2021-09-01T14:19:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:26:00.000000000+0000","2021-09-01T14:26:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:05:00.000000000+0000","2021-09-01T15:05:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:21:00.000000000+0000","2021-09-01T15:21:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:44:00.000000000+0000","2021-09-01T05:44:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:17:00.000000000+0000","2021-09-01T05:17:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:12:00.000000000+0000","2021-09-01T05:12:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:56:00.000000000+0000","2021-09-01T05:56:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:42:00.000000000+0000","2021-09-01T04:42:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:43:00.000000000+0000","2021-09-01T15:43:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:43:00.000000000+0000","2021-09-01T04:43:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:15:00.000000000+0000","2021-09-01T15:15:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:45:00.000000000+0000","2021-09-01T14:45:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:38:00.000000000+0000","2021-09-01T05:38:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:30:00.000000000+0000","2021-09-01T14:30:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:58:00.000000000+0000","2021-09-01T04:58:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:24:00.000000000+0000","2021-09-01T14:24:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:15:00.000000000+0000","2021-09-01T04:15:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:14:00.000000000+0000","2021-09-01T04:14:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:28:00.000000000+0000","2021-09-01T05:28:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:33:00.000000000+0000","2021-09-01T15:33:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:37:00.000000000+0000","2021-09-01T04:37:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:11:00.000000000+0000","2021-09-01T14:11:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:09:00.000000000+0000","2021-09-01T05:09:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:42:00.000000000+0000","2021-09-01T15:42:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:36:00.000000000+0000","2021-09-01T05:36:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:20:00.000000000+0000","2021-09-01T15:20:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:12:00.000000000+0000","2021-09-01T15:12:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:04:00.000000000+0000","2021-09-01T05:04:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:47:00.000000000+0000","2021-09-01T04:47:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:01:00.000000000+0000","2021-09-01T16:01:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:14:00.000000000+0000","2021-09-01T15:14:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:38:00.000000000+0000","2021-09-01T04:38:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:20:00.000000000+0000","2021-09-01T04:20:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:14:00.000000000+0000","2021-09-01T16:14:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:33:00.000000000+0000","2021-09-01T14:33:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:56:00.000000000+0000","2021-09-01T14:56:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:17:00.000000000+0000","2021-09-01T04:17:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:55:00.000000000+0000","2021-09-01T14:55:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:35:00.000000000+0000","2021-09-01T14:35:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:29:00.000000000+0000","2021-09-01T05:29:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:34:00.000000000+0000","2021-09-01T04:34:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:21:00.000000000+0000","2021-09-01T16:21:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:49:00.000000000+0000","2021-09-01T04:49:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:54:00.000000000+0000","2021-09-01T14:54:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:08:00.000000000+0000","2021-09-01T05:08:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:28:00.000000000+0000","2021-09-01T04:28:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:30:00.000000000+0000","2021-09-01T15:30:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:30:00.000000000+0000","2021-09-01T16:30:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:29:00.000000000+0000","2021-09-01T15:29:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:16:00.000000000+0000","2021-09-01T14:16:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:27:00.000000000+0000","2021-09-01T05:27:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:07:00.000000000+0000","2021-09-01T05:07:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:06:00.000000000+0000","2021-09-01T16:06:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:51:00.000000000+0000","2021-09-01T05:51:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:38:00.000000000+0000","2021-09-01T14:38:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:50:00.000000000+0000","2021-09-01T05:50:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:13:00.000000000+0000","2021-09-01T04:13:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:20:00.000000000+0000","2021-09-01T16:20:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:06:00.000000000+0000","2021-09-01T05:06:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:14:00.000000000+0000","2021-09-01T05:14:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:49:00.000000000+0000","2021-09-01T14:49:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:05:00.000000000+0000","2021-09-01T16:05:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:03:00.000000000+0000","2021-09-01T05:03:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:13:00.000000000+0000","2021-09-01T05:13:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:27:00.000000000+0000","2021-09-01T16:27:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:32:00.000000000+0000","2021-09-01T14:32:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:48:00.000000000+0000","2021-09-01T14:48:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:55:00.000000000+0000","2021-09-01T04:55:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:10:00.000000000+0000","2021-09-01T16:10:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:02:00.000000000+0000","2021-09-01T15:02:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:09:00.000000000+0000","2021-09-01T16:09:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:17:00.000000000+0000","2021-09-01T15:17:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:25:00.000000000+0000","2021-09-01T15:25:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:54:00.000000000+0000","2021-09-01T05:54:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:23:00.000000000+0000","2021-09-01T14:23:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:33:00.000000000+0000","2021-09-01T04:33:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:40:00.000000000+0000","2021-09-01T15:40:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:24:00.000000000+0000","2021-09-01T05:24:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:29:00.000000000+0000","2021-09-01T16:29:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:21:00.000000000+0000","2021-09-01T05:21:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:01:00.000000000+0000","2021-09-01T05:01:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:48:00.000000000+0000","2021-09-01T04:48:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:10:00.000000000+0000","2021-09-01T15:10:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:44:00.000000000+0000","2021-09-01T14:44:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T04:02:00.000000000+0000","2021-09-01T06:02:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:29:00.000000000+0000","2021-09-01T14:29:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:30:00.000000000+0000","2021-09-01T05:30:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:47:00.000000000+0000","2021-09-01T14:47:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:45:00.000000000+0000","2021-09-01T15:45:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:21:00.000000000+0000","2021-09-01T14:21:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T13:59:00.000000000+0000","2021-09-01T15:59:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:51:00.000000000+0000","2021-09-01T04:51:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:52:00.000000000+0000","2021-09-01T04:52:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:13:00.000000000+0000","2021-09-01T16:13:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:10:00.000000000+0000","2021-09-01T04:10:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:20:00.000000000+0000","2021-09-01T14:20:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:19:00.000000000+0000","2021-09-01T16:19:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:02:00.000000000+0000","2021-09-01T04:02:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:10:00.000000000+0000","2021-09-01T05:10:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:50:00.000000000+0000","2021-09-01T04:50:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:00:00.000000000+0000","2021-09-01T05:00:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:46:00.000000000+0000","2021-09-01T05:46:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T12:53:00.000000000+0000","2021-09-01T14:53:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:46:00.000000000+0000","2021-09-01T04:46:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:41:00.000000000+0000","2021-09-01T05:41:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:23:00.000000000+0000","2021-09-01T04:23:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:07:00.000000000+0000","2021-09-01T16:07:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:31:00.000000000+0000","2021-09-01T04:31:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:56:00.000000000+0000","2021-09-01T04:56:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T14:28:00.000000000+0000","2021-09-01T16:28:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T02:16:00.000000000+0000","2021-09-01T04:16:00.000000000+0000","None","1764669563802","1"
"TSLA","2021-09-01T03:05:00.000000000+0000","2021-09-01T05:05:00.000000000+0000","None","1764669563802","1"
