"timestamp","prev_close","new_close","crns_pred","crns_preds","time","diff"
"2021-11-05T05:25:00.000000000+0000","408.6633","409.1667","404.5196838378906","404.5196838378906","1764938268168","1"
"2021-11-05T05:07:00.000000000+0000","407.6667","408.21","403.0882263183594","403.0882263183594","1764938268168","1"
"2021-11-05T05:52:00.000000000+0000","410.3333","411.2667","401.7264404296875","401.7264404296875","1764938269658","1"
"2021-11-05T05:54:00.000000000+0000","411.3333","411.6667","402.5761413574219","402.5761413574219","1764938271158","1"
"2021-11-05T05:53:00.000000000+0000","411.2667","411.3333","399.90673828125","399.90673828125","1764938271158","1"
"2021-11-05T05:55:00.000000000+0000","411.6667","412.3333","400.0274963378906","400.0274963378906","1764938272658","1"
"2021-11-05T06:00:00.000000000+0000","411.6667","412.3333","403.29339599609375","403.29339599609375","1764938274158","1"
"2021-11-05T06:06:00.000000000+0000","411.7367","411.9667","402.84326171875","402.84326171875","1764938277158","1"
"2021-11-05T05:25:00.000000000+0000","408.6633","409.1667","404.5196838378906","404.5196838378906","1764938289168","-1"
"2021-11-05T05:53:00.000000000+0000","411.2667","411.3333","399.90673828125","399.90673828125","1764938289168","-1"
"2021-11-05T06:06:00.000000000+0000","411.7367","411.9667","402.84326171875","402.84326171875","1764938289168","-1"
"2021-11-05T05:54:00.000000000+0000","411.3333","411.6667","402.5761413574219","402.5761413574219","1764938289168","-1"
"2021-11-05T06:29:00.000000000+0000","412.3267","412.2167","406.3052673339844","406.3052673339844","1764938289168","1"
"2021-11-05T06:06:00.000000000+0000","411.7367","411.9667","404.8870849609375","404.8870849609375","1764938289168","1"
"2021-11-05T05:54:00.000000000+0000","411.3333","411.6667","405.3168640136719","405.3168640136719","1764938289168","1"
"2021-11-05T06:40:00.000000000+0000","411.3333","411.0","404.7087097167969","404.7087097167969","1764938289168","1"
"2021-11-05T05:53:00.000000000+0000","411.2667","411.3333","404.74346923828125","404.74346923828125","1764938289168","1"
"2021-11-05T06:26:00.000000000+0000","412.1833","412.3033","406.6438903808594","406.6438903808594","1764938289168","1"
"2021-11-05T06:39:00.000000000+0000","411.4","411.3333","397.265869140625","397.265869140625","1764938289168","1"
"2021-11-05T05:25:00.000000000+0000","408.6633","409.1667","404.6051330566406","404.6051330566406","1764938289168","1"
"2021-11-05T06:25:00.000000000+0000","412.0","412.1833","405.052978515625","405.052978515625","1764938289168","1"
"2021-11-05T06:43:00.000000000+0000","411.0133","410.3333","400.9133605957031","400.9133605957031","1764938292158","1"
"2021-11-05T06:00:00.000000000+0000","411.6667","412.3333","403.29339599609375","403.29339599609375","1764938314664","-1"
"2021-11-05T05:54:00.000000000+0000","411.3333","411.6667","405.3168640136719","405.3168640136719","1764938314664","-1"
"2021-11-05T06:29:00.000000000+0000","412.3267","412.2167","406.3052673339844","406.3052673339844","1764938314664","-1"
"2021-11-05T07:10:00.000000000+0000","409.9967","409.8333","402.7681579589844","402.7681579589844","1764938314664","1"
"2021-11-05T07:02:00.000000000+0000","410.3333","410.3333","403.8675842285156","403.8675842285156","1764938314664","1"
"2021-11-05T06:29:00.000000000+0000","412.3267","412.2167","405.4415588378906","405.4415588378906","1764938314664","1"
"2021-11-05T07:15:00.000000000+0000","410.0","409.8333","405.73126220703125","405.73126220703125","1764938314664","1"
"2021-11-05T07:21:00.000000000+0000","409.1867","409.0","402.7324523925781","402.7324523925781","1764938314664","1"
"2021-11-05T07:22:00.000000000+0000","409.0","409.3333","403.4009094238281","403.4009094238281","1764938314664","1"
"2021-11-05T07:03:00.000000000+0000","410.3333","410.0","404.3470458984375","404.3470458984375","1764938314664","1"
"2021-11-05T05:54:00.000000000+0000","411.3333","411.6667","404.7816467285156","404.7816467285156","1764938314664","1"
"2021-11-05T06:44:00.000000000+0000","410.3333","410.0","403.0796203613281","403.0796203613281","1764938314664","1"
"2021-11-05T07:04:00.000000000+0000","410.0","410.0","403.4306945800781","403.4306945800781","1764938314664","1"
"2021-11-05T07:00:00.000000000+0000","410.0","410.3333","404.3554992675781","404.3554992675781","1764938314664","1"
"2021-11-05T07:16:00.000000000+0000","409.8333","409.9667","405.81890869140625","405.81890869140625","1764938314664","1"
"2021-11-05T07:08:00.000000000+0000","409.7667","409.6967","402.3936767578125","402.3936767578125","1764938314664","1"
"2021-11-05T06:00:00.000000000+0000","411.6667","412.3333","405.48101806640625","405.48101806640625","1764938314664","1"
"2021-11-05T07:14:00.000000000+0000","410.02","410.0","405.92962646484375","405.92962646484375","1764938314664","1"
"2021-11-05T07:20:00.000000000+0000","409.24","409.1867","405.8622741699219","405.8622741699219","1764938314664","1"
"2021-11-05T07:13:00.000000000+0000","409.9333","410.02","405.266845703125","405.266845703125","1764938314664","1"
"2021-11-05T07:09:00.000000000+0000","409.6967","409.9967","402.4738464355469","402.4738464355469","1764938314664","1"
"2021-11-05T07:05:00.000000000+0000","410.0","409.7667","402.6078186035156","402.6078186035156","1764938314664","1"
"2021-11-05T07:06:00.000000000+0000","409.7667","410.0","405.0890808105469","405.0890808105469","1764938314664","1"
"2021-11-05T07:07:00.000000000+0000","410.0","409.7667","404.46429443359375","404.46429443359375","1764938314664","1"
"2021-11-05T07:01:00.000000000+0000","410.3333","410.3333","402.69671630859375","402.69671630859375","1764938314664","1"
"2021-11-05T07:27:00.000000000+0000","409.3333","409.2967","406.5906066894531","406.5906066894531","1764938316158","1"
"2021-11-05T07:26:00.000000000+0000","409.3367","409.3333","405.9394836425781","405.9394836425781","1764938316158","1"
"2021-11-05T07:28:00.000000000+0000","409.2967","409.0","407.16156005859375","407.16156005859375","1764938317658","1"
"2021-11-05T07:30:00.000000000+0000","408.8467","409.1333","406.04461669921875","406.04461669921875","1764938319158","1"
"2021-11-05T07:29:00.000000000+0000","409.0","408.8467","407.0973205566406","407.0973205566406","1764938319158","1"
"2021-11-05T07:31:00.000000000+0000","409.1333","409.0","404.2543029785156","404.2543029785156","1764938320658","1"
"2021-11-05T07:32:00.000000000+0000","409.0","408.6667","405.4591369628906","405.4591369628906","1764938322158","1"
"2021-11-05T07:33:00.000000000+0000","408.6667","408.5967","404.3441467285156","404.3441467285156","1764938322158","1"
"2021-11-05T07:34:00.000000000+0000","408.5967","408.3967","404.1007080078125","404.1007080078125","1764938323658","1"
"2021-11-05T07:36:00.000000000+0000","408.6667","408.6667","406.1896667480469","406.1896667480469","1764938325158","1"
"2021-11-05T07:35:00.000000000+0000","408.3967","408.6667","408.29388427734375","408.29388427734375","1764938325158","1"
"2021-11-05T07:39:00.000000000+0000","409.0","408.6667","404.979736328125","404.979736328125","1764938328158","1"
"2021-11-05T07:40:00.000000000+0000","408.6667","408.6633","405.9272766113281","405.9272766113281","1764938328158","1"
"2021-11-05T07:47:00.000000000+0000","408.5833","408.6667","408.0210266113281","408.0210266113281","1764938331158","1"
"2021-11-05T07:54:00.000000000+0000","408.9933","409.6667","409.0099792480469","409.0099792480469","1764938334158","1"
"2021-11-05T07:55:00.000000000+0000","409.6667","409.6667","409.1080627441406","409.1080627441406","1764938335658","1"
"2021-11-05T07:32:00.000000000+0000","409.0","408.6667","405.4591369628906","405.4591369628906","1764938343164","-1"
"2021-11-05T07:26:00.000000000+0000","409.3367","409.3333","405.9394836425781","405.9394836425781","1764938343164","-1"
"2021-11-05T07:55:00.000000000+0000","409.6667","409.6667","409.1080627441406","409.1080627441406","1764938343164","-1"
"2021-11-05T06:44:00.000000000+0000","410.3333","410.0","403.0796203613281","403.0796203613281","1764938343164","-1"
"2021-11-05T07:09:00.000000000+0000","409.6967","409.9967","402.4738464355469","402.4738464355469","1764938343164","-1"
"2021-11-05T07:15:00.000000000+0000","410.0","409.8333","405.73126220703125","405.73126220703125","1764938343164","-1"
"2021-11-05T07:39:00.000000000+0000","409.0","408.6667","404.979736328125","404.979736328125","1764938343164","-1"
"2021-11-05T07:10:00.000000000+0000","409.9967","409.8333","402.7681579589844","402.7681579589844","1764938343164","-1"
"2021-11-05T07:35:00.000000000+0000","408.3967","408.6667","408.29388427734375","408.29388427734375","1764938343164","-1"
"2021-11-05T07:02:00.000000000+0000","410.3333","410.3333","403.8675842285156","403.8675842285156","1764938343164","-1"
"2021-11-05T07:16:00.000000000+0000","409.8333","409.9667","405.81890869140625","405.81890869140625","1764938343164","-1"
"2021-11-05T07:00:00.000000000+0000","410.0","410.3333","404.3554992675781","404.3554992675781","1764938343164","-1"
"2021-11-05T07:47:00.000000000+0000","408.5833","408.6667","408.0210266113281","408.0210266113281","1764938343164","-1"
"2021-11-05T06:43:00.000000000+0000","411.0133","410.3333","400.9133605957031","400.9133605957031","1764938343164","-1"
"2021-11-05T07:27:00.000000000+0000","409.3333","409.2967","406.5906066894531","406.5906066894531","1764938343164","-1"
"2021-11-05T07:54:00.000000000+0000","408.9933","409.6667","409.0099792480469","409.0099792480469","1764938343164","-1"
"2021-11-05T07:54:00.000000000+0000","408.9933","409.6667","407.2142028808594","407.2142028808594","1764938343164","1"
"2021-11-05T07:27:00.000000000+0000","409.3333","409.2967","405.7405700683594","405.7405700683594","1764938343164","1"
"2021-11-05T06:43:00.000000000+0000","411.0133","410.3333","401.8751525878906","401.8751525878906","1764938343164","1"
"2021-11-05T08:05:00.000000000+0000","409.0333","409.3333","405.9416198730469","405.9416198730469","1764938343164","1"
"2021-11-05T08:06:00.000000000+0000","409.3333","409.3333","406.9571838378906","406.9571838378906","1764938343164","1"
"2021-11-05T07:47:00.000000000+0000","408.5833","408.6667","407.5599670410156","407.5599670410156","1764938343164","1"
"2021-11-05T07:00:00.000000000+0000","410.0","410.3333","406.4314880371094","406.4314880371094","1764938343164","1"
"2021-11-05T07:02:00.000000000+0000","410.3333","410.3333","405.3710021972656","405.3710021972656","1764938343164","1"
"2021-11-05T07:16:00.000000000+0000","409.8333","409.9667","407.39288330078125","407.39288330078125","1764938343164","1"
"2021-11-05T08:04:00.000000000+0000","409.3333","409.0333","405.62335205078125","405.62335205078125","1764938343164","1"
"2021-11-05T07:35:00.000000000+0000","408.3967","408.6667","407.4088134765625","407.4088134765625","1764938343164","1"
"2021-11-05T07:10:00.000000000+0000","409.9967","409.8333","405.4850769042969","405.4850769042969","1764938343164","1"
"2021-11-05T07:15:00.000000000+0000","410.0","409.8333","407.9109191894531","407.9109191894531","1764938343164","1"
"2021-11-05T07:39:00.000000000+0000","409.0","408.6667","405.384521484375","405.384521484375","1764938343164","1"
"2021-11-05T08:09:00.000000000+0000","409.1633","408.9967","404.96588134765625","404.96588134765625","1764938343164","1"
"2021-11-05T07:09:00.000000000+0000","409.6967","409.9967","405.625244140625","405.625244140625","1764938343164","1"
"2021-11-05T07:55:00.000000000+0000","409.6667","409.6667","407.0039367675781","407.0039367675781","1764938343164","1"
"2021-11-05T06:44:00.000000000+0000","410.3333","410.0","402.8926086425781","402.8926086425781","1764938343164","1"
"2021-11-05T07:32:00.000000000+0000","409.0","408.6667","407.73260498046875","407.73260498046875","1764938343164","1"
"2021-11-05T07:26:00.000000000+0000","409.3367","409.3333","406.7104187011719","406.7104187011719","1764938343164","1"
"2021-11-05T08:10:00.000000000+0000","408.9967","409.0","406.404296875","406.404296875","1764938344658","1"
"2021-11-05T08:13:00.000000000+0000","409.3333","409.0","408.1395263671875","408.1395263671875","1764938346158","1"
"2021-11-05T08:23:00.000000000+0000","409.0","409.0","403.5584716796875","403.5584716796875","1764938350658","1"
"2021-11-05T08:28:00.000000000+0000","409.0667","409.0033","405.5032653808594","405.5032653808594","1764938352158","1"
"2021-11-05T08:29:00.000000000+0000","409.0033","409.3167","405.1534118652344","405.1534118652344","1764938353658","1"
"2021-11-05T08:31:00.000000000+0000","408.53","408.9933","405.0682067871094","405.0682067871094","1764938355158","1"
"2021-11-05T08:30:00.000000000+0000","409.3167","408.53","406.0701599121094","406.0701599121094","1764938355158","1"
"2021-11-05T08:32:00.000000000+0000","408.9933","409.3633","405.8181457519531","405.8181457519531","1764938356658","1"
"2021-11-05T08:33:00.000000000+0000","409.3633","410.0","406.61175537109375","406.61175537109375","1764938358158","1"
"2021-11-05T08:34:00.000000000+0000","410.0","410.3333","407.1903076171875","407.1903076171875","1764938358158","1"
"2021-11-05T08:35:00.000000000+0000","410.3333","410.6633","407.6343994140625","407.6343994140625","1764938359658","1"
"2021-11-05T08:36:00.000000000+0000","410.6633","410.1667","405.5971984863281","405.5971984863281","1764938361158","1"
"2021-11-05T08:37:00.000000000+0000","410.1667","410.0167","406.8675537109375","406.8675537109375","1764938361158","1"
"2021-11-05T08:38:00.000000000+0000","410.0167","409.6967","406.9876708984375","406.9876708984375","1764938362658","1"
"2021-11-05T08:40:00.000000000+0000","410.0","410.0","406.6387023925781","406.6387023925781","1764938364158","1"
"2021-11-05T08:39:00.000000000+0000","409.6967","410.0","406.7908935546875","406.7908935546875","1764938364158","1"
"2021-11-05T08:41:00.000000000+0000","410.0","409.6667","407.72479248046875","407.72479248046875","1764938365658","1"
"2021-11-05T08:42:00.000000000+0000","409.6667","409.6667","408.35015869140625","408.35015869140625","1764938367158","1"
"2021-11-05T08:45:00.000000000+0000","409.6667","409.3967","407.04254150390625","407.04254150390625","1764938368658","1"
"2021-11-05T08:48:00.000000000+0000","409.6567","409.6667","407.8410949707031","407.8410949707031","1764938370158","1"
"2021-11-05T08:49:00.000000000+0000","409.6667","409.6667","407.5382080078125","407.5382080078125","1764938371658","1"
"2021-11-05T07:55:00.000000000+0000","409.6667","409.6667","407.0039367675781","407.0039367675781","1764938371664","-1"
"2021-11-05T08:40:00.000000000+0000","410.0","410.0","406.6387023925781","406.6387023925781","1764938371664","-1"
"2021-11-05T07:30:00.000000000+0000","408.8467","409.1333","406.04461669921875","406.04461669921875","1764938371664","-1"
"2021-11-05T08:09:00.000000000+0000","409.1633","408.9967","404.96588134765625","404.96588134765625","1764938371664","-1"
"2021-11-05T07:28:00.000000000+0000","409.2967","409.0","407.16156005859375","407.16156005859375","1764938371664","-1"
"2021-11-05T07:47:00.000000000+0000","408.5833","408.6667","407.5599670410156","407.5599670410156","1764938371664","-1"
"2021-11-05T08:45:00.000000000+0000","409.6667","409.3967","407.04254150390625","407.04254150390625","1764938371664","-1"
"2021-11-05T07:39:00.000000000+0000","409.0","408.6667","405.384521484375","405.384521484375","1764938371664","-1"
"2021-11-05T07:31:00.000000000+0000","409.1333","409.0","404.2543029785156","404.2543029785156","1764938371664","-1"
"2021-11-05T08:42:00.000000000+0000","409.6667","409.6667","408.35015869140625","408.35015869140625","1764938371664","-1"
"2021-11-05T08:04:00.000000000+0000","409.3333","409.0333","405.62335205078125","405.62335205078125","1764938371664","-1"
"2021-11-05T08:06:00.000000000+0000","409.3333","409.3333","406.9571838378906","406.9571838378906","1764938371664","-1"
"2021-11-05T07:33:00.000000000+0000","408.6667","408.5967","404.3441467285156","404.3441467285156","1764938371664","-1"
"2021-11-05T07:33:00.000000000+0000","408.6667","408.5967","406.4615173339844","406.4615173339844","1764938371664","1"
"2021-11-05T08:04:00.000000000+0000","409.3333","409.0333","404.0714111328125","404.0714111328125","1764938371664","1"
"2021-11-05T08:06:00.000000000+0000","409.3333","409.3333","406.5374755859375","406.5374755859375","1764938371664","1"
"2021-11-05T08:42:00.000000000+0000","409.6667","409.6667","405.7864074707031","405.7864074707031","1764938371664","1"
"2021-11-05T07:31:00.000000000+0000","409.1333","409.0","407.4140319824219","407.4140319824219","1764938371664","1"
"2021-11-05T07:39:00.000000000+0000","409.0","408.6667","404.82452392578125","404.82452392578125","1764938371664","1"
"2021-11-05T08:45:00.000000000+0000","409.6667","409.3967","407.5562744140625","407.5562744140625","1764938371664","1"
"2021-11-05T07:47:00.000000000+0000","408.5833","408.6667","403.52789306640625","403.52789306640625","1764938371664","1"
"2021-11-05T07:28:00.000000000+0000","409.2967","409.0","407.62640380859375","407.62640380859375","1764938371664","1"
